"filename", "language", "C#", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Enemies\EnemyCombatBehaviour.cs", "C#", 1, 0, 0, 1
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Interactables\ShrineManager.cs", "C#", 1, 0, 0, 1
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\Player\PlayerController.cs", "C#", -1, 0, 0, -1
"d:\3. SAP\Moonweaver\Assets\+++Workdata\Scripts\UI\Shrines\ShrineMenuBehaviour.cs", "C#", 2, 0, 0, 2
"Total", "-", 3, 0, 0, 3
