"filename", "language", "XML", "Markdown", "C#", "Python", "JSON", "ShaderLab", "HLSL", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkInitializer.cs", "C#", 0, 0, -143, 0, 0, 0, 0, -16, -33, -192
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkMemBankLoader.cs", "C#", 0, 0, -101, 0, 0, 0, 0, -15, -21, -137
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkObstructionOcclusion.cs", "C#", 0, 0, -91, 0, 0, 0, 0, -11, -27, -129
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRadialEmitter.cs", "C#", 0, 0, -122, 0, 0, 0, 0, -16, -25, -163
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoom.cs", "C#", 0, 0, -399, 0, 0, 0, 0, -18, -69, -486
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomAwareManager.cs", "C#", 0, 0, -63, 0, 0, 0, 0, -7, -14, -84
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomAwareObject.cs", "C#", 0, 0, -55, 0, 0, 0, 0, -17, -15, -87
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomManager.cs", "C#", 0, 0, -117, 0, 0, 0, 0, -7, -14, -138
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomPortal.cs", "C#", 0, 0, -244, 0, 0, 0, 0, -18, -60, -322
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkRoomPortalObstruction.cs", "C#", 0, 0, -23, 0, 0, 0, 0, -7, -4, -34
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSoundEngineController.cs", "C#", 0, 0, -271, 0, 0, 0, 0, -11, -55, -337
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSpatialAudioDebugDraw.cs", "C#", 0, 0, -135, 0, 0, 0, 0, -8, -33, -176
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSpatialAudioEmitter.cs", "C#", 0, 0, -163, 0, 0, 0, 0, -16, -31, -210
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSpatialAudioListener.cs", "C#", 0, 0, -89, 0, 0, 0, 0, -28, -20, -137
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkState.cs", "C#", 0, 0, -74, 0, 0, 0, 0, -8, -12, -94
"d:\3. SAP\Moonweaver\Assets\Wwise\MonoBehaviour\Runtime\AkSurfaceReflector.cs", "C#", 0, 0, -422, 0, 0, 0, 0, -19, -79, -520
