"filename", "language", "XML", "C#", "Markdown", "Log", "JSON", "Python", "ShaderLab", "HLSL", "HTML", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\AkWwiseInitializationSettings.cs", "C#", 0, 1077, 0, 0, 0, 0, 0, 0, 0, 9, 226, 1312
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkAcousticSurfaceArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkAuxSendArray.cs", "C#", 0, 108, 0, 0, 0, 0, 0, 0, 0, 5, 24, 137
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkBaseArray.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 13, 17, 77
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkChannelEmitterArray.cs", "C#", 0, 70, 0, 0, 0, 0, 0, 0, 0, 7, 9, 86
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkDeviceDescriptionArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkDiffractionPathInfoArray.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 4, 29
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkExternalSourceInfoArray.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 6, 39
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkMIDIPostArray.cs", "C#", 0, 59, 0, 0, 0, 0, 0, 0, 0, 5, 13, 77
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkObjectInfoArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkObstructionOcclusionValuesArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkPositionArray.cs", "C#", 0, 67, 0, 0, 0, 0, 0, 0, 0, 6, 9, 82
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkReflectionPathInfoArray.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 4, 29
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkSourceSettingsArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Common\Arrays\AkTriangleArray.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkMacBasePathGetter.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkMacSettings.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Mac\AkSoundEngine.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 1, 15
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiClient.cs", "C#", 0, 70, 0, 0, 0, 0, 0, 0, 0, 55, 19, 144
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiHelper.cs", "C#", 0, 363, 0, 0, 0, 0, 0, 0, 0, 98, 45, 506
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\AkWaapiUtilities.cs", "C#", 0, 669, 0, 0, 0, 0, 0, 0, 0, 312, 100, 1081
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\Uri.cs", "C#", 0, 195, 0, 0, 0, 0, 0, 0, 0, 139, 2, 336
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\WAAPI\Wamp.cs", "C#", 0, 410, 0, 0, 0, 0, 0, 0, 0, 104, 80, 594
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkSoundEngine.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 1, 15
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkWindowsBasePathGetter.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Handwritten\Windows\AkWindowsSettings.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 10, 59
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseAcousticTextureReference.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 6, 2, 12
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\WwiseTypes\WwiseObjects\WwiseAuxBusReference.cs", "C#", 0, 4, 0, 0, 0, 0, 0, 0, 0, 6, 2, 12
